filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
AMPB500.COB ; 1766 ; 1164 ; 424 ; 250; 36 ; 27 ; 34; 19;  0; 0
AMPB910.COB ; 3067 ; 2539 ; 1610 ; 471; 77 ; 73 ; 75; 48;  0; 0
AMPC100.COB ; 2001 ; 1279 ; 686 ; 262; 72 ; 69 ; 71; 41;  0; 0
AMPC110.COB ; 2156 ; 1399 ; 747 ; 275; 76 ; 73 ; 75; 41;  0; 0
AMPC120.COB ; 2156 ; 1399 ; 747 ; 275; 76 ; 73 ; 75; 41;  0; 0
AMPC130.COB ; 1930 ; 1222 ; 658 ; 253; 70 ; 67 ; 69; 41;  0; 0
AMPC140.COB ; 2227 ; 1452 ; 775 ; 282; 78 ; 75 ; 77; 41;  0; 0
AMPC150.COB ; 2225 ; 1454 ; 772 ; 284; 78 ; 75 ; 77; 41;  0; 0
AMPC160.COB ; 2227 ; 1452 ; 775 ; 282; 78 ; 75 ; 77; 41;  0; 0
AMPP423.COB ; 1920 ; 2093 ; 1141 ; 499; 32 ; 18 ; 31; 13;  0; 0
AMPP426.COB ; 3709 ; 3371 ; 596 ; 219; 64 ; 49 ; 62; 34;  0; 0
AMPP428.COB ; 5892 ; 5319 ; 699 ; 198; 29 ; 29 ; 27; 19;  0; 0
AMPP429.COB ; 2080 ; 1658 ; 358 ; 130; 58 ; 79 ; 58; 31;  0; 0
AMPP440.COB ; 696 ; 558 ; 208 ; 88; 10 ; 10 ; 9; 7;  0; 0
AMPP505.COB ; 1017 ; 771 ; 194 ; 101; 23 ; 25 ; 21; 17;  0; 0
AMPS001.COB ; 2034 ; 1004 ; 582 ; 251; 13 ; 9 ; 11; 4;  0; 0
AMPU025.COB ; 1012 ; 778 ; 515 ; 167; 54 ; 34 ; 54; 24;  0; 0
AMPU027.COB ; 1117 ; 853 ; 445 ; 202; 33 ; 21 ; 33; 15;  0; 0
AMPU028.COB ; 326 ; 154 ; 65 ; 11; 30 ; 21 ; 30; 11;  0; 0
AMPU029.COB ; 615 ; 274 ; 115 ; 54; 32 ; 23 ; 31; 15;  0; 0
AMPU101.COB ; 516 ; 307 ; 97 ; 46; 58 ; 49 ; 56; 30;  0; 0
AMPU800.COB ; 4109 ; 2371 ; 126 ; 74; 12 ; 12 ; 12; 6;  0; 0
AMPU801.COB ; 678 ; 381 ; 138 ; 69; 17 ; 17 ; 17; 9;  0; 0
CAPB005.COB ; 4526 ; 3471 ; 1617 ; 887; 29 ; 30 ; 27; 22;  0; 0
CAPB006.COB ; 2824 ; 2191 ; 784 ; 460; 107 ; 94 ; 105; 59;  0; 0
CAPB081.COB ; 1628 ; 1144 ; 399 ; 186; 77 ; 67 ; 77; 41;  0; 0
CAPB082.COB ; 1617 ; 1140 ; 397 ; 186; 77 ; 67 ; 77; 41;  0; 0
CAPB083.COB ; 1700 ; 1123 ; 381 ; 185; 74 ; 64 ; 74; 39;  0; 0
CAPB087.COB ; 1465 ; 1036 ; 307 ; 170; 35 ; 27 ; 33; 19;  0; 0
CAPP001.COB ; 1874 ; 1312 ; 426 ; 211; 51 ; 51 ; 49; 29;  0; 0
CAPP002.COB ; 2529 ; 1831 ; 677 ; 349; 33 ; 27 ; 31; 19;  0; 0
CAPP003.COB ; 4441 ; 3250 ; 1524 ; 839; 29 ; 32 ; 27; 24;  0; 0
CAPP011.COB ; 2066 ; 1384 ; 480 ; 218; 142 ; 137 ; 142; 74;  0; 0
CAPP012.COB ; 3234 ; 2145 ; 952 ; 448; 64 ; 25 ; 64; 17;  0; 0
CAPP013.COB ; 686 ; 444 ; 152 ; 58; 67 ; 52 ; 66; 32;  0; 0
CAPP014.COB ; 1132 ; 750 ; 256 ; 134; 47 ; 28 ; 47; 21;  0; 0
CAPP015.COB ; 1902 ; 1324 ; 489 ; 275; 57 ; 38 ; 55; 27;  0; 0
CAPP016.COB ; 742 ; 600 ; 214 ; 88; 27 ; 11 ; 25; 7;  0; 0
CAPP017.COB ; 742 ; 600 ; 214 ; 88; 27 ; 11 ; 25; 7;  0; 0
