filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
ALCP696.COB ; 2497 ; 1776 ; 852 ; 458; 47 ; 42 ; 41; 26
ALCP697.COB ; 2611 ; 1922 ; 986 ; 524; 66 ; 60 ; 60; 40
ALCP698.COB ; 302 ; 182 ; 60 ; 9; 22 ; 11 ; 20; 8
ALCP700.COB ; 2187 ; 1483 ; 383 ; 196; 216 ; 199 ; 192; 89
ALCP701.COB ; 482 ; 468 ; 162 ; 68; 112 ; 78 ; 106; 43
ALCP702.COB ; 4117 ; 2014 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP703.COB ; 1950 ; 1223 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP704.COB ; 2316 ; 1666 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP705.COB ; 2988 ; 1810 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP706.COB ; 3630 ; 1833 ; 797 ; 402; 32 ; 29 ; 26; 16
ALCP707.COB ; 1426 ; 1074 ; 395 ; 179; 348 ; 347 ; 330; 163
ALCP754.COB ; 1831 ; 882 ; 295 ; 86; 36 ; 35 ; 32; 21
ALCP755.COB ; 1752 ; 779 ; 266 ; 66; 36 ; 35 ; 32; 21
ALCP787.COB ; 1244 ; 862 ; 326 ; 135; 29 ; 30 ; 27; 18
ALCP901.COB ; 19907 ; 3653 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP936.COB ; 1346 ; 991 ; 368 ; 181; 38 ; 34 ; 32; 20
ALCP998.COB ; 1601 ; 888 ; 272 ; 127; 31 ; 31 ; 25; 18
ALCS024.COB ; 4550 ; 2720 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS025.COB ; 2498 ; 1626 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS026.COB ; 4377 ; 2529 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS027.COB ; 3947 ; 2288 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS028.COB ; 3214 ; 2019 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS029.COB ; 3131 ; 1937 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS030.COB ; 2452 ; 1508 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS031.COB ; 2486 ; 1589 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
