filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCP342.COB ; 7746 ; 4049 ; 1816 ; 917; False;230 ; 137 ; 215; 97;  2; 4
ALCP345.COB ; 3213 ; 1084 ; 362 ; 157; False;50 ; 26 ; 38; 12;  0; 2
ALCP420.COB ; 3673 ; 1291 ; 436 ; 198; False;67 ; 32 ; 55; 28;  0; 2
ALCP421.COB ; 951 ; 554 ; 241 ; 66; False;36 ; 16 ; 24; 8;  0; 2
ALCP422.COB ; 1528 ; 953 ; 410 ; 146; False;44 ; 19 ; 32; 11;  0; 2
ALCP423.COB ; 2538 ; 681 ; 279 ; 74; False;40 ; 16 ; 28; 8;  0; 2
ALCP424.COB ; 846 ; 588 ; 143 ; 59; False;69 ; 27 ; 65; 23;  0; 2
ALCP425.COB ; 1136 ; 436 ; 112 ; 51; False;65 ; 23 ; 47; 18;  0; 2
ALCP470.COB ; 2494 ; 1615 ; 512 ; 274; False;102 ; 65 ; 94; 51;  0; 2
ALCP500.COB ; 5124 ; 3373 ; 1534 ; 600; False;64 ; 31 ; 64; 21;  0; 2
ALCP502.COB ; 6183 ; 3301 ; 1341 ; 511; False;180 ; 50 ; 172; 43;  2; 3
ALCP504.COB ; 6370 ; 3090 ; 1101 ; 475; False;143 ; 54 ; 137; 29;  0; 2
ALCP505.COB ; 601 ; 413 ; 127 ; 34; False;69 ; 25 ; 57; 17;  0; 2
ALCP519.COB ; 6619 ; 3743 ; 1677 ; 842; False;71 ; 24 ; 55; 18;  0; 2
ALCP520.COB ; 5343 ; 1785 ; 757 ; 371; False;49 ; 24 ; 39; 14;  2; 2
ALCP540.COB ; 8943 ; 4983 ; 2305 ; 1162; False;78 ; 28 ; 68; 24;  2; 2
ALCP542.COB ; 6527 ; 1410 ; 620 ; 290; False;114 ; 54 ; 98; 43;  0; 2
ALCP543.COB ; 1232 ; 435 ; 76 ; 21; False;55 ; 21 ; 49; 17;  0; 2
ALCP544.COB ; 1349 ; 812 ; 225 ; 67; False;115 ; 64 ; 99; 44;  4; 0
ALCP545.COB ; 564 ; 407 ; 122 ; 36; True;97 ; 36 ; 91; 28;  2; 2
ALCP550.COB ; 2291 ; 780 ; 307 ; 134; False;61 ; 29 ; 51; 22;  0; 3
ALCP551.COB ; 874 ; 616 ; 218 ; 72; False;59 ; 23 ; 51; 13;  2; 0
