filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
LITVA17.COB ; 595 ; 432 ; 177 ; 76; 13 ; 11 ; 11; 5;  0; 0
LITVA18.COB ; 666 ; 480 ; 191 ; 90; 13 ; 11 ; 11; 5;  0; 0
LITVA19.COB ; 732 ; 520 ; 191 ; 90; 13 ; 11 ; 11; 5;  0; 0
LITVA20.COB ; 732 ; 520 ; 191 ; 90; 13 ; 11 ; 11; 5;  0; 0
LITVA21.COB ; 1059 ; 766 ; 277 ; 180; 13 ; 11 ; 11; 5;  0; 0
LITVA22.COB ; 601 ; 435 ; 179 ; 78; 13 ; 11 ; 11; 5;  0; 0
LITVA23.COB ; 627 ; 454 ; 181 ; 80; 13 ; 11 ; 11; 5;  0; 0
LITVA24.COB ; 626 ; 452 ; 183 ; 82; 13 ; 11 ; 11; 5;  0; 0
LITVA25.COB ; 595 ; 432 ; 177 ; 76; 13 ; 11 ; 11; 5;  0; 0
LITVA26.COB ; 814 ; 583 ; 205 ; 108; 13 ; 11 ; 11; 5;  0; 0
LITVA27.COB ; 656 ; 471 ; 185 ; 84; 13 ; 11 ; 11; 5;  0; 0
LITVA28.COB ; 611 ; 443 ; 179 ; 78; 13 ; 11 ; 11; 5;  0; 0
LITVA30.COB ; 1231 ; 868 ; 305 ; 208; 13 ; 11 ; 11; 5;  0; 0
LITVA31.COB ; 723 ; 498 ; 177 ; 76; 13 ; 11 ; 11; 5;  0; 0
LITVA32.COB ; 740 ; 541 ; 213 ; 116; 13 ; 11 ; 11; 5;  0; 0
LITVA34.COB ; 753 ; 549 ; 215 ; 118; 13 ; 11 ; 11; 5;  0; 0
LITVA37.COB ; 726 ; 531 ; 209 ; 112; 13 ; 11 ; 11; 5;  0; 0
LITVA38.COB ; 1230 ; 874 ; 307 ; 210; 13 ; 11 ; 11; 5;  0; 0
LITVA39.COB ; 1040 ; 741 ; 249 ; 152; 13 ; 11 ; 11; 5;  0; 0
LITVA40.COB ; 636 ; 453 ; 177 ; 76; 13 ; 11 ; 11; 5;  0; 0
LITVA41.COB ; 977 ; 693 ; 243 ; 146; 13 ; 11 ; 11; 5;  0; 0
LITVA42.COB ; 1052 ; 751 ; 273 ; 176; 13 ; 11 ; 11; 5;  0; 0
LITVA43.COB ; 936 ; 668 ; 219 ; 122; 13 ; 11 ; 11; 5;  0; 0
LITVA44.COB ; 1483 ; 1060 ; 361 ; 264; 13 ; 11 ; 11; 5;  0; 0
LITVA45.COB ; 1142 ; 886 ; 249 ; 152; 13 ; 11 ; 11; 5;  0; 0
LITVA46.COB ; 848 ; 608 ; 203 ; 106; 13 ; 11 ; 11; 5;  0; 0
LITVA47.COB ; 716 ; 527 ; 209 ; 112; 13 ; 11 ; 11; 5;  0; 0
LITVA48.COB ; 718 ; 527 ; 209 ; 112; 13 ; 11 ; 11; 5;  0; 0
LITVA49.COB ; 1179 ; 808 ; 189 ; 88; 13 ; 11 ; 11; 5;  0; 0
LITVA80.COB ; 1144 ; 814 ; 291 ; 194; 13 ; 11 ; 11; 5;  0; 0
LITVA87.COB ; 779 ; 556 ; 185 ; 84; 13 ; 11 ; 11; 5;  0; 0
LITVA90.COB ; 832 ; 592 ; 199 ; 98; 13 ; 11 ; 11; 5;  0; 0
LITVA91.COB ; 832 ; 589 ; 197 ; 96; 13 ; 11 ; 11; 5;  0; 0
LITVC01.COB ; 786 ; 557 ; 197 ; 96; 13 ; 11 ; 11; 5;  0; 0
LITVC02.COB ; 864 ; 606 ; 199 ; 98; 13 ; 11 ; 11; 5;  0; 0
LITVC03.COB ; 828 ; 592 ; 203 ; 106; 13 ; 11 ; 11; 5;  0; 0
LITVC04.COB ; 802 ; 580 ; 223 ; 126; 13 ; 11 ; 11; 5;  0; 0
LITVC05.COB ; 741 ; 542 ; 213 ; 116; 13 ; 11 ; 11; 5;  0; 0
LITVC06.COB ; 892 ; 625 ; 201 ; 100; 13 ; 11 ; 11; 5;  0; 0
LITVC07.COB ; 830 ; 587 ; 201 ; 100; 13 ; 11 ; 11; 5;  0; 0
LITVC08.COB ; 1423 ; 1008 ; 345 ; 248; 13 ; 11 ; 11; 5;  0; 0
LITVC09.COB ; 606 ; 439 ; 177 ; 76; 13 ; 11 ; 11; 5;  0; 0
LITVC11.COB ; 854 ; 610 ; 207 ; 110; 13 ; 11 ; 11; 5;  0; 0
LITVC12.COB ; 854 ; 610 ; 207 ; 110; 13 ; 11 ; 11; 5;  0; 0
NOAB004.COB ; 3450 ; 2131 ; 774 ; 400; 68 ; 71 ; 66; 49;  0; 0
NOAB005.COB ; 4347 ; 2765 ; 1093 ; 590; 51 ; 52 ; 50; 36;  0; 0
NOAB015.COB ; 1469 ; 1348 ; 470 ; 265; 33 ; 35 ; 32; 26;  0; 0
NOAB016.COB ; 1469 ; 1345 ; 471 ; 265; 33 ; 34 ; 32; 25;  0; 0
NOAB017.COB ; 1275 ; 1146 ; 383 ; 211; 33 ; 35 ; 32; 26;  0; 0
NOAB018.COB ; 1198 ; 1043 ; 333 ; 177; 56 ; 60 ; 55; 42;  0; 0
NOAB019.COB ; 1614 ; 1448 ; 642 ; 362; 213 ; 251 ; 213; 144;  0; 0
NOAB020.COB ; 1196 ; 1060 ; 355 ; 196; 125 ; 157 ; 125; 91;  0; 0
NOAB021.COB ; 2234 ; 1527 ; 468 ; 269; 82 ; 89 ; 82; 56;  0; 0
NOAB022.COB ; 3179 ; 2173 ; 816 ; 486; 201 ; 233 ; 201; 132;  0; 0
NOAB023.COB ; 1331 ; 928 ; 294 ; 141; 90 ; 91 ; 88; 54;  0; 0
NOAB024.COB ; 1646 ; 1200 ; 470 ; 247; 104 ; 125 ; 102; 71;  0; 0
NOAB025.COB ; 3433 ; 2546 ; 1083 ; 637; 292 ; 357 ; 290; 205;  0; 0
NOAB030.COB ; 2312 ; 1370 ; 621 ; 257; 27 ; 25 ; 26; 18;  0; 0
NOAB045.COB ; 4149 ; 3298 ; 1345 ; 805; 23 ; 22 ; 21; 14;  0; 0
NOAB046.COB ; 3116 ; 2273 ; 930 ; 533; 156 ; 178 ; 156; 105;  0; 0
NOAB047.COB ; 3116 ; 2556 ; 1071 ; 649; 200 ; 239 ; 200; 140;  0; 0
NOAB048.COB ; 3559 ; 2508 ; 985 ; 572; 34 ; 27 ; 32; 19;  0; 0
NOAB053.COB ; 2581 ; 2012 ; 854 ; 492; 218 ; 259 ; 216; 147;  0; 0
NOAB059.COB ; 3516 ; 2484 ; 979 ; 575; 204 ; 226 ; 204; 140;  0; 0
NOAB071.COB ; 2590 ; 1933 ; 744 ; 409; 47 ; 40 ; 45; 28;  0; 0
NOAB119.COB ; 3336 ; 2137 ; 775 ; 403; 68 ; 71 ; 66; 49;  0; 0
NOAB122.COB ; 4399 ; 2828 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB124.COB ; 5941 ; 3541 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB125.COB ; 3354 ; 2129 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB127.COB ; 4222 ; 2709 ; 1098 ; 596; 33 ; 29 ; 31; 19;  0; 0
NOAB129.COB ; 4162 ; 2309 ; 1203 ; 586; 39 ; 32 ; 39; 20;  0; 0
NOAB131.COB ; 6762 ; 4399 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB167.COB ; 4109 ; 2625 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB185.COB ; 3897 ; 1957 ; 724 ; 399; 31 ; 28 ; 30; 21;  0; 0
NOAB188.COB ; 4900 ; 2881 ; 1143 ; 639; 154 ; 130 ; 153; 85;  0; 0
NOAB191.COB ; 2530 ; 1954 ; 651 ; 321; 85 ; 73 ; 84; 51;  0; 0
NOAB203.COB ; 1986 ; 1569 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB210.COB ; 3845 ; 2964 ; 1129 ; 657; 38 ; 28 ; 36; 18;  0; 0
NOAB211.COB ; 5311 ; 4004 ; 1771 ; 1056; 58 ; 47 ; 56; 34;  0; 0
NOAB217.COB ; 2101 ; 1529 ; 609 ; 380; 23 ; 22 ; 23; 14;  0; 0
NOAB218.COB ; 4530 ; 3440 ; 1534 ; 975; 25 ; 25 ; 25; 16;  0; 0
NOAB227.COB ; 5754 ; 3601 ; 1671 ; 859; 29 ; 34 ; 27; 24;  0; 0
NOAB235.COB ; 10924 ; 7894 ; 3368 ; 2015; 29 ; 35 ; 27; 27;  0; 0
NOAB236.COB ; 15268 ; 12807 ; 6070 ; 3962; 29 ; 34 ; 27; 24;  0; 0
NOAB237.COB ; 7581 ; 5405 ; 2560 ; 1515; 29 ; 33 ; 27; 23;  0; 0
NOAB239.COB ; 2699 ; 2134 ; 729 ; 379; 29 ; 28 ; 27; 18;  0; 0
NOAB246.COB ; 2820 ; 2029 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB251.COB ; 8651 ; 5763 ; 2809 ; 1779; 27 ; 26 ; 26; 18;  0; 0
NOAB252.COB ; 3248 ; 2406 ; 968 ; 477; 29 ; 33 ; 27; 23;  0; 0
NOAB263.COB ; 1971 ; 1553 ; 476 ; 225; 97 ; 60 ; 97; 42;  0; 0
NOAB264.COB ; 3043 ; 2630 ; 822 ; 437; 92 ; 93 ; 92; 57;  0; 0
NOAB267.COB ; 2408 ; 1618 ; 596 ; 314; 22 ; 22 ; 22; 14;  0; 0
NOAB401.COB ; 4293 ; 2380 ; 1205 ; 587; 39 ; 32 ; 39; 20;  0; 0
NOAB404.COB ; 11205 ; 8160 ; 3490 ; 2129; 29 ; 36 ; 27; 28;  0; 0
NOAB405.COB ; 15670 ; 12919 ; 5903 ; 3600; 29 ; 34 ; 27; 24;  0; 0
NOAB406.COB ; 9545 ; 6727 ; 2989 ; 1801; 29 ; 33 ; 27; 23;  0; 0
NOAB407.COB ; 4533 ; 2952 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB408.COB ; 6547 ; 4127 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB409.COB ; 3798 ; 2247 ; 1136 ; 436; 29 ; 33 ; 27; 25;  0; 0
NOAB410.COB ; 6218 ; 4018 ; 1828 ; 980; 29 ; 34 ; 27; 24;  0; 0
NOAB411.COB ; 6582 ; 4029 ; 1824 ; 912; 29 ; 36 ; 27; 28;  0; 0
NOAB412.COB ; 7034 ; 4556 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB415.COB ; 3252 ; 2489 ; 973 ; 488; 29 ; 33 ; 27; 23;  0; 0
NOAB424.COB ; 4075 ; 3051 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB425.COB ; 3389 ; 2144 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB426.COB ; 1444 ; 991 ; 361 ; 182; 119 ; 137 ; 117; 77;  0; 0
NOAB432.COB ; 2447 ; 1799 ; 557 ; 293; 63 ; 75 ; 61; 42;  0; 0
