filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
NOAP710.COB ; 1532 ; 1036 ; 376 ; 146; False;67 ; 73 ; 51; 30;  4; 2
NOAP711.COB ; 1492 ; 1004 ; 366 ; 147; False;129 ; 113 ; 113; 52;  4; 2
NOAP712.COB ; 1114 ; 854 ; 295 ; 102; False;124 ; 98 ; 110; 49;  4; 0
NOAP713.COB ; 1370 ; 992 ; 375 ; 149; False;77 ; 91 ; 59; 23;  0; 2
NOAP714.COB ; 1559 ; 1187 ; 477 ; 214; False;137 ; 118 ; 123; 54;  4; 2
NOAP715.COB ; 1521 ; 1158 ; 442 ; 190; False;75 ; 88 ; 57; 22;  0; 2
NOAP716.COB ; 1771 ; 1303 ; 476 ; 207; False;79 ; 72 ; 65; 29;  4; 2
NOAP717.COB ; 950 ; 659 ; 237 ; 75; False;63 ; 70 ; 49; 29;  4; 2
NOAP718.COB ; 959 ; 696 ; 249 ; 82; False;63 ; 70 ; 49; 29;  4; 2
NOAP719.COB ; 1438 ; 1100 ; 394 ; 158; True;59 ; 41 ; 47; 20;  2; 2
NOAP720.COB ; 2050 ; 1296 ; 505 ; 233; False;123 ; 115 ; 107; 64;  0; 2
NOAP721.COB ; 1511 ; 1017 ; 392 ; 149; False;77 ; 71 ; 63; 30;  4; 2
NOAP722.COB ; 2821 ; 1844 ; 705 ; 314; False;103 ; 85 ; 81; 32;  4; 2
NOAP723.COB ; 3133 ; 2181 ; 1080 ; 456; False;161 ; 152 ; 137; 52;  4; 2
NOAP724.COB ; 2243 ; 1613 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
NOAP725.COB ; 1716 ; 1201 ; 551 ; 233; False;124 ; 107 ; 108; 49;  4; 2
NOAP726.COB ; 1796 ; 1056 ; 404 ; 133; True;70 ; 39 ; 58; 18;  2; 2
NOAP727.COB ; 1367 ; 913 ; 398 ; 146; False;139 ; 104 ; 125; 43;  4; 0
NOAP728.COB ; 1476 ; 1057 ; 476 ; 180; False;150 ; 104 ; 138; 57;  4; 6
NOAP729.COB ; 2734 ; 1896 ; 983 ; 431; False;135 ; 123 ; 119; 66;  0; 2
NOAP730.COB ; 4026 ; 2267 ; 1090 ; 627; False;137 ; 101 ; 107; 24;  4; 2
NOAP731.COB ; 1919 ; 1051 ; 342 ; 113; True;67 ; 42 ; 55; 21;  2; 2
NOAP732.COB ; 1546 ; 955 ; 358 ; 119; True;67 ; 42 ; 55; 21;  2; 2
NOAP733.COB ; 2219 ; 1028 ; 373 ; 129; True;72 ; 47 ; 60; 26;  2; 2
NOAP734.COB ; 1623 ; 1017 ; 397 ; 135; True;72 ; 47 ; 60; 26;  2; 2
NOAP736.COB ; 2376 ; 1600 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
NOAP740.COB ; 3352 ; 2040 ; 693 ; 327; False;174 ; 126 ; 154; 62;  2; 2
NOAP741.COB ; 2285 ; 1692 ; 721 ; 406; False;77 ; 71 ; 55; 25;  2; 4
NOAP742.COB ; 1740 ; 1417 ; 612 ; 332; False;77 ; 71 ; 55; 25;  2; 4
NOAP743.COB ; 2381 ; 1813 ; 769 ; 462; False;77 ; 71 ; 55; 25;  2; 4
NOAP744.COB ; 2243 ; 1715 ; 719 ; 403; False;85 ; 79 ; 63; 31;  2; 4
NOAP745.COB ; 3514 ; 2883 ; 1380 ; 800; False;85 ; 79 ; 63; 31;  2; 4
NOAP746.COB ; 2627 ; 2020 ; 845 ; 456; False;88 ; 83 ; 64; 33;  2; 2
NOAP747.COB ; 3451 ; 2726 ; 1309 ; 731; False;85 ; 79 ; 63; 31;  2; 4
NOAP748.COB ; 2407 ; 1937 ; 842 ; 442; False;88 ; 83 ; 64; 33;  2; 2
NOAP749.COB ; 2897 ; 2426 ; 1130 ; 645; False;85 ; 79 ; 63; 31;  2; 4
NOAP750.COB ; 3343 ; 2726 ; 1272 ; 709; False;88 ; 83 ; 64; 33;  2; 2
NOAP751.COB ; 2215 ; 1692 ; 740 ; 358; False;88 ; 83 ; 64; 33;  2; 2
NOAP752.COB ; 1374 ; 915 ; 270 ; 111; False;126 ; 93 ; 112; 51;  2; 2
NOAP753.COB ; 1173 ; 813 ; 350 ; 131; True;60 ; 46 ; 48; 25;  2; 2
NOAP754.COB ; 894 ; 679 ; 267 ; 93; False;108 ; 86 ; 94; 37;  4; 0
NOAP771.COB ; 2345 ; 1937 ; 709 ; 299; False;85 ; 51 ; 73; 27;  0; 2
NOAP772.COB ; 954 ; 719 ; 252 ; 89; False;60 ; 53 ; 48; 23;  0; 2
NOAP773.COB ; 708 ; 521 ; 189 ; 58; False;118 ; 91 ; 102; 37;  4; 0
NOAP775.COB ; 1312 ; 998 ; 365 ; 151; False;114 ; 89 ; 104; 52;  2; 0
NOAP777.COB ; 680 ; 425 ; 127 ; 39; True;61 ; 34 ; 61; 25;  0; 0
NOAP801.COB ; 876 ; 473 ; 159 ; 47; True;75 ; 43 ; 75; 29;  0; 0
NOAP849.COB ; 730 ; 615 ; 217 ; 64; False;128 ; 101 ; 112; 49;  4; 0
NOAP850.COB ; 1219 ; 789 ; 313 ; 146; False;145 ; 115 ; 133; 65;  0; 2
NOAP851.COB ; 1011 ; 881 ; 317 ; 156; False;178 ; 155 ; 160; 75;  6; 2
NOAP853.COB ; 1151 ; 751 ; 292 ; 129; False;146 ; 128 ; 130; 80;  0; 2
NOAP854.COB ; 2914 ; 2370 ; 1035 ; 607; False;124 ; 104 ; 114; 66;  0; 2
NOAP855.COB ; 2156 ; 1577 ; 691 ; 382; False;235 ; 238 ; 213; 116;  6; 4
NOAP856.COB ; 1464 ; 946 ; 397 ; 200; False;145 ; 121 ; 141; 78;  2; 0
NOAP858.COB ; 1193 ; 826 ; 369 ; 169; True;181 ; 202 ; 179; 104;  2; 0
NOAP859.COB ; 1832 ; 1560 ; 773 ; 442; False;167 ; 169 ; 141; 71;  4; 2
NOAP861.COB ; 2834 ; 1476 ; 700 ; 345; True;311 ; 260 ; 311; 169;  0; 0
NOAP870.COB ; 1056 ; 599 ; 201 ; 120; False;85 ; 77 ; 69; 36;  0; 2
NOAP871.COB ; 3538 ; 2779 ; 1101 ; 710; False;74 ; 58 ; 62; 34;  0; 2
NOAP872.COB ; 2064 ; 1190 ; 455 ; 215; False;109 ; 100 ; 86; 47;  2; 4
NOAP873.COB ; 1816 ; 1061 ; 336 ; 145; False;109 ; 82 ; 97; 43;  0; 2
NOAP874.COB ; 1413 ; 727 ; 182 ; 69; True;105 ; 66 ; 103; 37;  2; 0
NOAP875.COB ; 3807 ; 2366 ; 939 ; 575; False;109 ; 85 ; 84; 33;  0; 2
NOAP876.COB ; 1429 ; 765 ; 206 ; 97; False;106 ; 76 ; 98; 39;  0; 2
NOAP877.COB ; 3093 ; 2162 ; 1002 ; 640; False;117 ; 78 ; 105; 42;  0; 3
NOAP878.COB ; 1729 ; 986 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
NOAP879.COB ; 3526 ; 2224 ; 1007 ; 582; False;94 ; 84 ; 80; 32;  2; 0
NOAP880.COB ; 1497 ; 796 ; 214 ; 95; False;115 ; 89 ; 97; 40;  2; 2
NOAP881.COB ; 1753 ; 875 ; 269 ; 113; True;130 ; 91 ; 130; 56;  0; 0
NOAP882.COB ; 1612 ; 1008 ; 406 ; 216; True;91 ; 49 ; 89; 34;  2; 0
NOAP883.COB ; 651 ; 460 ; 108 ; 40; True;73 ; 50 ; 73; 32;  0; 0
NOAP884.COB ; 649 ; 492 ; 139 ; 54; False;105 ; 87 ; 87; 28;  0; 4
NOAP885.COB ; 1544 ; 1087 ; 449 ; 213; False;124 ; 109 ; 108; 50;  4; 2
NOAP887.COB ; 2826 ; 1910 ; 753 ; 401; False;146 ; 157 ; 136; 97;  4; 2
NOAP888.COB ; 651 ; 557 ; 179 ; 84; True;131 ; 95 ; 125; 66;  2; 2
NOAP889.COB ; 2816 ; 1783 ; 844 ; 430; False;224 ; 206 ; 212; 112;  4; 2
NOAP890.COB ; 1018 ; 596 ; 254 ; 124; False;96 ; 77 ; 82; 19;  0; 2
NOAP893.COB ; 854 ; 548 ; 201 ; 56; False;102 ; 60 ; 94; 20;  0; 2
NOAP894.COB ; 538 ; 433 ; 133 ; 48; False;91 ; 70 ; 83; 33;  4; 0
NOAP895.COB ; 502 ; 434 ; 135 ; 48; False;92 ; 70 ; 84; 33;  4; 0
NOAP899.COB ; 2136 ; 1435 ; 696 ; 265; False;75 ; 89 ; 51; 36;  0; 16
NOAS001.COB ; 2343 ; 1367 ; 830 ; 370; False;46 ; 44 ; 30; 14;  0; 2
NOAS003.COB ; 3011 ; 1824 ; 1005 ; 466; False;58 ; 61 ; 33; 18;  1; 2
NOAS004.COB ; 8500 ; 4751 ; 2122 ; 1067; False;44 ; 45 ; 30; 16;  0; 2
NOAS005.COB ; 3607 ; 1900 ; 1041 ; 526; False;45 ; 46 ; 29; 16;  0; 2
NOAS006.COB ; 8425 ; 4928 ; 3094 ; 1536; False;44 ; 45 ; 29; 16;  0; 2
NOAS007.COB ; 10494 ; 6328 ; 2861 ; 1380; False;46 ; 45 ; 28; 14;  0; 2
NOAS008.COB ; 2725 ; 1467 ; 865 ; 382; False;58 ; 58 ; 33; 16;  1; 2
NOAS009.COB ; 6012 ; 3193 ; 1825 ; 865; False;45 ; 45 ; 31; 16;  0; 2
NOAS010.COB ; 14055 ; 8415 ; 3061 ; 1566; False;44 ; 46 ; 28; 16;  0; 2
NOAS011.COB ; 3256 ; 1563 ; 1028 ; 418; False;44 ; 45 ; 30; 16;  0; 2
NOAS012.COB ; 3396 ; 1858 ; 1102 ; 462; False;46 ; 44 ; 30; 14;  0; 2
NOAS013.COB ; 3950 ; 2184 ; 1256 ; 549; False;44 ; 45 ; 30; 16;  0; 2
NOAS014.COB ; 9523 ; 5733 ; 3449 ; 1654; False;44 ; 45 ; 29; 16;  0; 2
NOAS015.COB ; 2170 ; 1181 ; 702 ; 279; False;46 ; 42 ; 30; 12;  0; 2
NOAS016.COB ; 7510 ; 4392 ; 2225 ; 1077; False;48 ; 47 ; 34; 16;  0; 2
NOAS017.COB ; 2290 ; 1347 ; 807 ; 315; False;46 ; 42 ; 30; 12;  0; 2
NOAS018.COB ; 2357 ; 1385 ; 817 ; 321; False;46 ; 42 ; 30; 12;  0; 2
NOAS019.COB ; 2386 ; 1274 ; 760 ; 323; False;46 ; 44 ; 30; 14;  0; 2
NOAS020.COB ; 3234 ; 1717 ; 1046 ; 445; False;44 ; 45 ; 30; 16;  0; 2
NOAS021.COB ; 3369 ; 1775 ; 1113 ; 519; False;47 ; 44 ; 31; 14;  0; 2
NOAS022.COB ; 5197 ; 2976 ; 1829 ; 852; False;45 ; 45 ; 31; 16;  0; 2
NOAS023.COB ; 2209 ; 1227 ; 785 ; 383; False;54 ; 53 ; 35; 16;  1; 2
NOAS024.COB ; 2486 ; 1392 ; 735 ; 343; False;58 ; 58 ; 33; 16;  1; 2
NOAS025.COB ; 3236 ; 1576 ; 940 ; 404; False;45 ; 45 ; 31; 16;  0; 2
NOAS026.COB ; 6027 ; 3736 ; 2581 ; 1116; False;47 ; 47 ; 31; 16;  0; 2
NOAS027.COB ; 3987 ; 2297 ; 1222 ; 624; False;46 ; 44 ; 30; 14;  0; 2
NOAS028.COB ; 2154 ; 1097 ; 717 ; 294; False;46 ; 44 ; 30; 14;  0; 2
NOAS029.COB ; 2728 ; 1533 ; 909 ; 381; False;46 ; 44 ; 30; 14;  0; 2
NOAS030.COB ; 7018 ; 3769 ; 2010 ; 872; False;46 ; 44 ; 30; 14;  0; 2
NOAS031.COB ; 4255 ; 2177 ; 1270 ; 586; False;44 ; 45 ; 29; 14;  2; 2
NOAS032.COB ; 11049 ; 6062 ; 2110 ; 1031; False;48 ; 46 ; 30; 14;  0; 2
NOAS033.COB ; 3962 ; 2111 ; 1224 ; 555; False;44 ; 44 ; 31; 16;  0; 2
NOAS035.COB ; 3291 ; 1722 ; 1116 ; 436; False;58 ; 61 ; 33; 18;  1; 2
NOAS036.COB ; 4010 ; 2230 ; 1340 ; 587; False;45 ; 46 ; 29; 16;  0; 2
NOAS037.COB ; 3651 ; 1961 ; 1212 ; 492; False;44 ; 45 ; 29; 16;  0; 2
NOAS038.COB ; 2718 ; 1503 ; 918 ; 396; False;46 ; 47 ; 30; 16;  0; 2
NOAS039.COB ; 2645 ; 1404 ; 844 ; 373; False;46 ; 44 ; 30; 14;  0; 2
NOAS040.COB ; 2524 ; 1361 ; 832 ; 363; False;53 ; 56 ; 34; 18;  1; 2
NOAS041.COB ; 2332 ; 1046 ; 735 ; 286; False;54 ; 53 ; 35; 16;  1; 2
NOAS060.COB ; 2366 ; 1311 ; 924 ; 365; False;51 ; 54 ; 34; 18;  1; 2
NOAS061.COB ; 2373 ; 1317 ; 935 ; 368; False;51 ; 54 ; 34; 18;  1; 2
NOAS062.COB ; 3220 ; 1693 ; 950 ; 404; False;44 ; 45 ; 30; 16;  0; 2
NOAS063.COB ; 6128 ; 3337 ; 1878 ; 1053; False;47 ; 47 ; 31; 16;  0; 2
NOAS064.COB ; 5490 ; 2956 ; 1690 ; 947; False;47 ; 47 ; 31; 16;  0; 2
NOAS065.COB ; 1961 ; 1058 ; 695 ; 274; False;44 ; 44 ; 31; 16;  0; 2
NOAS066.COB ; 1874 ; 1071 ; 685 ; 271; False;44 ; 43 ; 30; 14;  0; 2
NOAS122.COB ; 4588 ; 2896 ; 1383 ; 733; False;44 ; 45 ; 30; 16;  0; 2
NOAS124.COB ; 5342 ; 3310 ; 1720 ; 854; False;45 ; 45 ; 31; 16;  0; 2
NOAS141.COB ; 3436 ; 1440 ; 948 ; 349; False;54 ; 56 ; 35; 18;  1; 2
NOAS142.COB ; 2414 ; 1255 ; 805 ; 318; False;44 ; 45 ; 30; 16;  0; 2
NOAS143.COB ; 2857 ; 1507 ; 1020 ; 400; False;44 ; 45 ; 30; 16;  0; 2
NOAS168.COB ; 6214 ; 3891 ; 2037 ; 1166; False;58 ; 67 ; 41; 19;  2; 2
NOAS265.COB ; 2506 ; 1223 ; 760 ; 305; False;44 ; 46 ; 28; 14;  2; 2
NOAS266.COB ; 2595 ; 1513 ; 715 ; 321; False;45 ; 45 ; 31; 16;  0; 2
NOAS401.COB ; 2784 ; 1744 ; 944 ; 435; False;44 ; 45 ; 30; 16;  0; 2
NOAS402.COB ; 5495 ; 3618 ; 1884 ; 1032; False;45 ; 45 ; 31; 16;  0; 2
NOAS403.COB ; 4570 ; 2835 ; 1374 ; 685; False;42 ; 43 ; 30; 16;  0; 2
NOAS404.COB ; 5140 ; 3489 ; 1760 ; 913; False;44 ; 45 ; 30; 16;  0; 2
NOAS405.COB ; 3364 ; 2070 ; 1123 ; 531; False;44 ; 45 ; 30; 16;  0; 2
NOAS406.COB ; 5995 ; 4072 ; 2138 ; 1210; False;45 ; 45 ; 31; 16;  0; 2
NOAS408.COB ; 8280 ; 5791 ; 2344 ; 1404; False;44 ; 45 ; 30; 16;  0; 2
NOAS409.COB ; 13278 ; 10373 ; 4695 ; 3218; False;45 ; 45 ; 31; 16;  0; 2
NOAS410.COB ; 4100 ; 2601 ; 1214 ; 642; False;44 ; 45 ; 30; 16;  0; 2
NOAS411.COB ; 2755 ; 1539 ; 995 ; 455; False;51 ; 54 ; 34; 18;  1; 2
NOAS412.COB ; 4426 ; 2555 ; 1949 ; 972; False;52 ; 54 ; 35; 18;  1; 2
NOAS413.COB ; 3643 ; 2371 ; 1341 ; 645; False;51 ; 54 ; 34; 18;  1; 2
NOAS414.COB ; 7240 ; 3795 ; 2807 ; 1373; False;52 ; 54 ; 35; 18;  1; 2
NOAS415.COB ; 2500 ; 1541 ; 871 ; 407; False;44 ; 45 ; 30; 16;  0; 2
NOAS416.COB ; 4353 ; 2465 ; 1468 ; 711; False;51 ; 54 ; 34; 18;  1; 2
NOAS417.COB ; 2493 ; 1483 ; 918 ; 440; False;51 ; 54 ; 34; 18;  1; 2
NOAS418.COB ; 2657 ; 1569 ; 1012 ; 454; False;51 ; 54 ; 34; 18;  1; 2
NOAS419.COB ; 7768 ; 4668 ; 2303 ; 1181; False;48 ; 49 ; 30; 16;  0; 2
NOAS420.COB ; 5126 ; 2877 ; 1589 ; 760; False;43 ; 44 ; 30; 16;  0; 2
NOAS421.COB ; 4344 ; 2664 ; 1708 ; 899; False;49 ; 49 ; 31; 16;  0; 2
NOAS422.COB ; 2262 ; 1300 ; 874 ; 391; False;52 ; 54 ; 35; 18;  1; 2
NOAS423.COB ; 2257 ; 1136 ; 751 ; 316; False;51 ; 54 ; 34; 18;  1; 2
NOAS424.COB ; 2838 ; 1443 ; 886 ; 396; False;55 ; 58 ; 34; 18;  1; 2
NOAS425.COB ; 2510 ; 1262 ; 843 ; 372; False;52 ; 54 ; 35; 18;  1; 2
NOAS426.COB ; 6188 ; 3684 ; 2893 ; 1417; False;52 ; 54 ; 35; 18;  1; 2
NOAS427.COB ; 9677 ; 5290 ; 3694 ; 1729; False;45 ; 45 ; 31; 16;  0; 2
NOAS428.COB ; 4106 ; 2587 ; 1461 ; 693; False;44 ; 46 ; 28; 14;  2; 2
NOAS429.COB ; 4246 ; 2699 ; 1312 ; 658; False;44 ; 45 ; 30; 16;  0; 2
NOAS430.COB ; 3261 ; 1683 ; 1023 ; 473; False;44 ; 45 ; 30; 16;  0; 2
NOAS431.COB ; 3572 ; 2335 ; 1319 ; 634; False;51 ; 54 ; 34; 18;  1; 2
NOAS432.COB ; 6724 ; 3965 ; 2978 ; 1498; False;52 ; 54 ; 35; 18;  1; 2
NOAS433.COB ; 2261 ; 1255 ; 784 ; 348; False;51 ; 54 ; 34; 18;  1; 2
NOAS434.COB ; 2252 ; 1332 ; 827 ; 362; False;51 ; 54 ; 34; 18;  1; 2
NOAS435.COB ; 3536 ; 1826 ; 1153 ; 548; False;44 ; 44 ; 31; 16;  0; 2
NOAS436.COB ; 2438 ; 1330 ; 738 ; 324; False;52 ; 54 ; 35; 18;  1; 2
NOAS437.COB ; 3317 ; 1741 ; 1119 ; 491; False;56 ; 58 ; 35; 18;  1; 2
NOAS438.COB ; 3720 ; 1900 ; 1171 ; 557; False;44 ; 44 ; 31; 16;  0; 2
