 0,26 ; 0,26 ;;;;;;;;;;;;;
 0,81 ; 0,81 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,30 ; 0,40 ;;;;;;;;;;;;;
 0,22 ; 0,28 ;;;;;;;;;;;;;
 0,27 ; 0,42 ;;;;;;;;;;;;;
 0,88 ; 0,88 ;;;;;;;;;;;;;
 0,08 ; 0,08 ;;;;;;;;;;;;;
 0,28 ; 0,48 ;;;;;;;;;;;;;
 0,25 ; 0,29 ;;;;;;;;;;;;;
 0,09 ; 0,37 ;;;;;;;;;;;;;
 0,08 ; 0,44 ;;;;;;;;;;;;;
 0,24 ; 0,62 ;;;;;;;;;;;;;
 0,08 ; 0,14 ;;;;;;;;;;;;;
 0,04 ; 0,08 ;;;;;;;;;;;;;
 0,13 ; 0,26 ;;;;;;;;;;;;;
 0,07 ; 0,15 ;;;;;;;;;;;;;
 0,06 ; 0,13 ;;;;;;;;;;;;;
 0,06 ; 0,11 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,23 ; 0,38 ;;;;;;;;;;;;;
 0,55 ; 0,64 ;;;;;;;;;;;;;
 0,08 ; 0,32 ;;;;;;;;;;;;;
 0,22 ; 0,30 ;;;;;;;;;;;;;
 0,13 ; 0,24 ;;;;;;;;;;;;;
 0,15 ; 0,26 ;;;;;;;;;;;;;
 0,06 ; 0,14 ;;;;;;;;;;;;;
 0,47 ; 0,74 ;;;;;;;;;;;;;
 0,30 ; 0,40 ;;;;;;;;;;;;;
 0,59 ; 0,59 ;;;;;;;;;;;;;
 0,17 ; 0,19 ;;;;;;;;;;;;;
 0,05 ; 0,16 ;;;;;;;;;;;;;
 0,11 ; 0,15 ;;;;;;;;;;;;;
 0,25 ; 0,43 ;;;;;;;;;;;;;
 0,01 ; 0,06 ;;;;;;;;;;;;;
 0,02 ; 0,04 ;;;;;;;;;;;;;
 0,01 ; 0,06 ;;;;;;;;;;;;;
