filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCB617.COB ; 2069 ; 1141 ; 342 ; 185; True;170 ; 99 ; 170; 99;  0; 0
ALCB618.COB ; 1700 ; 1133 ; 337 ; 186; True;178 ; 105 ; 178; 105;  0; 0
ALCB619.COB ; 1700 ; 1133 ; 337 ; 186; True;178 ; 105 ; 178; 105;  0; 0
ALCB625.COB ; 4072 ; 1388 ; 428 ; 230; False;10 ; 7 ; 8; 5;  0; 0
ALCB648.COB ; 2605 ; 1286 ; 423 ; 213; False;172 ; 97 ; 168; 94;  0; 0
ALCB649.COB ; 1808 ; 1111 ; 349 ; 177; False;141 ; 77 ; 137; 73;  0; 0
ALCB653.COB ; 2348 ; 1000 ; 312 ; 156; False;125 ; 76 ; 123; 73;  0; 0
ALCB654.COB ; 4321 ; 1170 ; 348 ; 173; False;130 ; 81 ; 125; 75;  0; 0
ALCB655.COB ; 4352 ; 1228 ; 370 ; 182; False;146 ; 90 ; 139; 84;  0; 0
ALCB659.COB ; 1690 ; 979 ; 312 ; 149; False;113 ; 69 ; 111; 66;  0; 0
ALCB660.COB ; 1829 ; 989 ; 306 ; 149; False;169 ; 97 ; 167; 97;  0; 0
ALCB661.COB ; 3782 ; 975 ; 306 ; 147; False;169 ; 95 ; 167; 95;  0; 0
ALCB665.COB ; 3327 ; 2000 ; 674 ; 344; False;203 ; 120 ; 195; 111;  0; 0
ALCB668.COB ; 1075 ; 904 ; 302 ; 155; False;45 ; 28 ; 43; 26;  0; 0
ALCB682.COB ; 3320 ; 2048 ; 678 ; 399; False;191 ; 120 ; 185; 114;  0; 0
ALCB683.COB ; 2620 ; 1683 ; 525 ; 300; False;220 ; 130 ; 216; 128;  0; 0
ALCB751.COB ; 1532 ; 794 ; 264 ; 106; False;61 ; 34 ; 59; 30;  0; 0
ALCB756.COB ; 1983 ; 1226 ; 225 ; 84; False;88 ; 41 ; 86; 39;  0; 0
ALCB937.COB ; 8697 ; 4148 ; 1217 ; 649; False;112 ; 67 ; 108; 59;  0; 0
ALCB997.COB ; 4788 ; 3216 ; 841 ; 456; False;185 ; 110 ; 181; 108;  0; 0
ALCC024.COB ; 3269 ; 2759 ; 1468 ; 794; False;31 ; 13 ; 29; 8;  0; 0
ALCC025.COB ; 2186 ; 1585 ; 810 ; 365; False;31 ; 12 ; 29; 8;  0; 0
ALCC026.COB ; 3218 ; 2608 ; 1408 ; 730; False;31 ; 13 ; 29; 8;  0; 0
ALCC027.COB ; 3252 ; 2628 ; 1419 ; 734; False;31 ; 13 ; 29; 8;  0; 0
ALCC028.COB ; 2175 ; 1603 ; 823 ; 373; False;68 ; 34 ; 64; 28;  0; 0
ALCC029.COB ; 2062 ; 1507 ; 777 ; 357; False;64 ; 32 ; 60; 26;  0; 0
ALCC030.COB ; 2910 ; 2324 ; 1276 ; 644; False;31 ; 13 ; 29; 8;  0; 0
ALCC031.COB ; 1962 ; 1446 ; 745 ; 350; False;31 ; 11 ; 29; 8;  0; 0
ALCC032.COB ; 2532 ; 1962 ; 1070 ; 539; False;31 ; 14 ; 29; 8;  0; 0
ALCC048.COB ; 2097 ; 1518 ; 774 ; 354; False;62 ; 31 ; 58; 25;  0; 0
ALCC049.COB ; 2191 ; 1565 ; 792 ; 354; False;62 ; 31 ; 58; 25;  0; 0
