filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
ALCB018.COB ; 1523 ; 987 ; 378 ; 172; 79 ; 96 ; 77; 58
ALCB025.COB ; 1205 ; 914 ; 311 ; 172; 100 ; 103 ; 100; 60
ALCB044.COB ; 7678 ; 3099 ; 1298 ; 683; 73 ; 75 ; 73; 42
ALCB073.COB ; 1291 ; 1070 ; 343 ; 184; 204 ; 224 ; 202; 119
ALCB087.COB ; 12592 ; 3119 ; 1068 ; 689; 24 ; 26 ; 24; 14
ALCB096.COB ; 2446 ; 1103 ; 382 ; 187; 164 ; 187 ; 162; 104
ALCB207.COB ; 1953 ; 1431 ; 372 ; 151; 29 ; 28 ; 27; 18
ALCB212.COB ; 1286 ; 959 ; 304 ; 150; 36 ; 33 ; 34; 23
ALCB213.COB ; 1409 ; 1013 ; 304 ; 150; 36 ; 33 ; 34; 23
ALCB216.COB ; 1126 ; 917 ; 324 ; 158; 71 ; 84 ; 69; 47
ALCB229.COB ; 1267 ; 1059 ; 339 ; 153; 150 ; 147 ; 148; 86
ALCB231.COB ; 1693 ; 1294 ; 404 ; 222; 39 ; 30 ; 37; 19
ALCB232.COB ; 1478 ; 957 ; 309 ; 126; 29 ; 28 ; 27; 18
ALCB233.COB ; 1414 ; 965 ; 349 ; 173; 62 ; 75 ; 60; 42
ALCB234.COB ; 1474 ; 971 ; 349 ; 173; 62 ; 75 ; 60; 42
ALCB327.COB ; 1304 ; 1122 ; 363 ; 194; 72 ; 70 ; 70; 43
ALCB328.COB ; 1622 ; 1216 ; 437 ; 209; 147 ; 164 ; 145; 97
ALCB332.COB ; 1748 ; 969 ; 298 ; 119; 81 ; 59 ; 79; 40
ALCB343.COB ; 9294 ; 2541 ; 961 ; 550; 27 ; 28 ; 25; 18
ALCB369.COB ; 2297 ; 1830 ; 662 ; 356; 77 ; 72 ; 75; 40
ALCB486.COB ; 2923 ; 1776 ; 512 ; 293; 23 ; 22 ; 21; 14
ALCB487.COB ; 3069 ; 1590 ; 479 ; 281; 23 ; 22 ; 21; 14
ALCB506.COB ; 3804 ; 1273 ; 409 ; 189; 28 ; 25 ; 28; 16
ALCB517.COB ; 13160 ; 7830 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB527.COB ; 6463 ; 3880 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB528.COB ; 5969 ; 2576 ; 1176 ; 517; 72 ; 55 ; 71; 34
ALCB530.COB ; 6590 ; 2369 ; 918 ; 430; 128 ; 101 ; 128; 57
ALCB541.COB ; 6572 ; 2383 ; 871 ; 404; 27 ; 28 ; 25; 20
ALCB576.COB ; 3646 ; 1381 ; 400 ; 226; 57 ; 67 ; 57; 43
ALCB581.COB ; 5979 ; 3959 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCB582.COB ; 5375 ; 3096 ; 898 ; 495; 23 ; 22 ; 21; 14
ALCB583.COB ; 5648 ; 3084 ; 909 ; 483; 29 ; 34 ; 27; 24
ALCB584.COB ; 2254 ; 1560 ; 318 ; 158; 77 ; 82 ; 75; 48
ALCB585.COB ; 2873 ; 1981 ; 422 ; 222; 89 ; 88 ; 87; 53
ALCB587.COB ; 1228 ; 952 ; 304 ; 150; 77 ; 82 ; 75; 48
ALCB611.COB ; 1919 ; 1340 ; 460 ; 254; 11 ; 11 ; 11; 6
ALCB617.COB ; 2069 ; 1141 ; 342 ; 185; 220 ; 251 ; 218; 127
ALCB618.COB ; 1700 ; 1133 ; 337 ; 186; 230 ; 271 ; 228; 135
ALCB619.COB ; 1700 ; 1133 ; 337 ; 186; 230 ; 271 ; 228; 135
ALCB625.COB ; 4072 ; 1388 ; 428 ; 231; 11 ; 11 ; 11; 6
ALCB648.COB ; 2605 ; 1286 ; 423 ; 213; 27 ; 28 ; 27; 18
ALCB649.COB ; 1808 ; 1111 ; 349 ; 177; 29 ; 28 ; 27; 18
ALCB653.COB ; 2348 ; 1000 ; 312 ; 156; 22 ; 23 ; 22; 14
ALCB654.COB ; 4321 ; 1170 ; 348 ; 174; 29 ; 28 ; 29; 18
ALCB655.COB ; 4352 ; 1228 ; 370 ; 183; 36 ; 35 ; 36; 23
ALCB659.COB ; 1690 ; 979 ; 312 ; 149; 22 ; 23 ; 22; 14
ALCB660.COB ; 1829 ; 989 ; 306 ; 149; 69 ; 59 ; 69; 38
ALCB661.COB ; 3782 ; 975 ; 306 ; 147; 72 ; 62 ; 72; 40
