filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCP336.COB ; 408 ; 369 ; 98 ; 29; 69 ; 41 ; 67; 26;  0; 2
ALCP337.COB ; 1218 ; 1045 ; 440 ; 259; 64 ; 45 ; 62; 30;  0; 2
ALCP342.COB ; 7746 ; 4049 ; 1817 ; 894; 99 ; 83 ; 97; 56;  2; 0
ALCP345.COB ; 3213 ; 1084 ; 363 ; 163; 108 ; 103 ; 102; 50;  4; 0
ALCP420.COB ; 3673 ; 1291 ; 437 ; 203; 40 ; 36 ; 34; 20;  2; 0
ALCP421.COB ; 951 ; 554 ; 242 ; 68; 46 ; 42 ; 44; 26;  0; 2
ALCP422.COB ; 1528 ; 953 ; 411 ; 150; 46 ; 42 ; 44; 26;  0; 2
ALCP423.COB ; 2538 ; 681 ; 280 ; 76; 46 ; 42 ; 44; 26;  0; 2
ALCP424.COB ; 846 ; 588 ; 144 ; 62; 26 ; 26 ; 20; 14;  2; 0
ALCP425.COB ; 1136 ; 436 ; 113 ; 53; 56 ; 47 ; 52; 28;  2; 0
ALCP470.COB ; 2494 ; 1615 ; 513 ; 287; 35 ; 34 ; 33; 20;  0; 2
ALCP500.COB ; 5124 ; 3373 ; 1535 ; 612; 44 ; 31 ; 38; 19;  2; 0
ALCP502.COB ; 6183 ; 3301 ; 1342 ; 521; 114 ; 96 ; 106; 56;  4; 0
ALCP504.COB ; 6370 ; 3090 ; 1102 ; 484; 25 ; 24 ; 21; 14;  2; 0
ALCP505.COB ; 601 ; 413 ; 128 ; 34; 46 ; 31 ; 42; 20;  2; 0
ALCP519.COB ; 6619 ; 3743 ; 1678 ; 911; 34 ; 33 ; 32; 19;  0; 4
ALCP520.COB ; 5343 ; 1785 ; 758 ; 379; 71 ; 70 ; 63; 34;  4; 0
ALCP540.COB ; 8943 ; 4983 ; 2306 ; 1240; 56 ; 45 ; 52; 29;  2; 0
ALCP542.COB ; 6527 ; 1410 ; 621 ; 312; 68 ; 46 ; 62; 30;  2; 0
ALCP543.COB ; 1232 ; 435 ; 77 ; 21; 35 ; 21 ; 31; 13;  2; 0
ALCP544.COB ; 1349 ; 812 ; 226 ; 67; 29 ; 15 ; 23; 7;  2; 0
ALCP545.COB ; 564 ; 407 ; 123 ; 36; 26 ; 12 ; 22; 6;  2; 0
ALCP550.COB ; 2291 ; 780 ; 308 ; 139; 83 ; 78 ; 79; 43;  2; 0
ALCP551.COB ; 874 ; 616 ; 219 ; 75; 32 ; 29 ; 30; 17;  0; 2
ALCP552.COB ; 743 ; 526 ; 189 ; 64; 26 ; 26 ; 20; 15;  2; 0
ALCP558.COB ; 1435 ; 1035 ; 274 ; 121; 243 ; 233 ; 231; 113;  12; 0
ALCP559.COB ; 1262 ; 846 ; 219 ; 108; 26 ; 26 ; 20; 14;  2; 0
ALCP570.COB ; 2328 ; 1068 ; 268 ; 131; 33 ; 31 ; 31; 17;  0; 2
ALCP571.COB ; 1796 ; 793 ; 227 ; 110; 54 ; 43 ; 46; 22;  4; 0
ALCP575.COB ; 3913 ; 902 ; 283 ; 71; 84 ; 51 ; 78; 34;  2; 0
ALCP577.COB ; 6937 ; 3351 ; 1372 ; 784; 130 ; 127 ; 124; 69;  4; 0
ALCP579.COB ; 2180 ; 408 ; 113 ; 36; 35 ; 25 ; 29; 12;  2; 0
ALCP610.COB ; 423 ; 314 ; 72 ; 27; 54 ; 54 ; 52; 27;  2; 0
ALCP631.COB ; 2473 ; 1245 ; 433 ; 200; 26 ; 28 ; 20; 14;  2; 0
ALCP637.COB ; 1848 ; 791 ; 235 ; 97; 26 ; 28 ; 20; 14;  2; 0
ALCP639.COB ; 3272 ; 1019 ; 298 ; 163; 107 ; 107 ; 101; 46;  4; 0
ALCP644.COB ; 1279 ; 475 ; 144 ; 33; 81 ; 62 ; 79; 32;  2; 0
ALCP666.COB ; 6147 ; 3804 ; 1563 ; 973; 75 ; 54 ; 69; 31;  4; 0
ALCP667.COB ; 1098 ; 693 ; 198 ; 86; 98 ; 92 ; 90; 51;  6; 0
ALCP676.COB ; 1958 ; 887 ; 327 ; 126; 217 ; 222 ; 205; 110;  12; 0
ALCP679.COB ; 1586 ; 870 ; 257 ; 123; 32 ; 29 ; 26; 17;  2; 0
ALCP680.COB ; 575 ; 433 ; 115 ; 50; 80 ; 83 ; 76; 42;  4; 0
ALCP686.COB ; 3501 ; 1400 ; 607 ; 367; 57 ; 38 ; 53; 24;  2; 0
ALCP687.COB ; 2884 ; 882 ; 305 ; 144; 66 ; 63 ; 58; 34;  4; 0
ALCP688.COB ; 3488 ; 1207 ; 419 ; 221; 162 ; 134 ; 156; 74;  6; 0
ALCP689.COB ; 992 ; 746 ; 218 ; 111; 40 ; 40 ; 34; 23;  2; 0
ALCP690.COB ; 1176 ; 868 ; 298 ; 127; 60 ; 54 ; 59; 34;  0; 2
ALCP691.COB ; 972 ; 727 ; 214 ; 102; 86 ; 79 ; 82; 36;  2; 0
ALCP692.COB ; 2534 ; 1813 ; 884 ; 412; 103 ; 84 ; 91; 45;  6; 0
ALCP693.COB ; 2773 ; 2260 ; 1239 ; 576; 105 ; 82 ; 93; 45;  6; 0
ALCP694.COB ; 2645 ; 1980 ; 1043 ; 469; 59 ; 65 ; 55; 38;  2; 2
ALCP695.COB ; 2388 ; 1674 ; 767 ; 408; 47 ; 42 ; 41; 26;  2; 0
ALCP696.COB ; 2497 ; 1776 ; 852 ; 458; 47 ; 42 ; 41; 26;  2; 0
ALCP697.COB ; 2611 ; 1922 ; 986 ; 524; 66 ; 60 ; 60; 40;  2; 0
ALCP698.COB ; 302 ; 182 ; 60 ; 9; 22 ; 11 ; 20; 8;  2; 0
ALCP700.COB ; 2187 ; 1483 ; 383 ; 196; 216 ; 199 ; 192; 89;  16; 0
