filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCB018.COB ; 1523 ; 987 ; 377 ; 166; False;57 ; 54 ; 45; 30;  0; 2
ALCB025.COB ; 1205 ; 914 ; 310 ; 162; False;126 ; 110 ; 118; 63;  0; 2
ALCB044.COB ; 7678 ; 3099 ; 1297 ; 646; False;135 ; 123 ; 125; 66;  0; 2
ALCB073.COB ; 1291 ; 1070 ; 342 ; 181; False;171 ; 145 ; 161; 78;  0; 2
ALCB087.COB ; 12592 ; 3119 ; 1067 ; 665; False;104 ; 134 ; 80; 61;  0; 6
ALCB096.COB ; 2446 ; 1103 ; 381 ; 188; False;240 ; 279 ; 211; 113;  6; 4
ALCB207.COB ; 1953 ; 1431 ; 371 ; 143; False;73 ; 67 ; 63; 40;  0; 2
ALCB212.COB ; 1286 ; 959 ; 303 ; 144; False;116 ; 109 ; 102; 62;  0; 2
ALCB213.COB ; 1409 ; 1013 ; 303 ; 144; False;116 ; 109 ; 102; 62;  0; 2
ALCB216.COB ; 1126 ; 917 ; 323 ; 154; False;117 ; 100 ; 107; 51;  0; 1
ALCB229.COB ; 1267 ; 1059 ; 338 ; 149; False;75 ; 62 ; 67; 38;  0; 2
ALCB231.COB ; 1693 ; 1294 ; 403 ; 215; False;155 ; 161 ; 139; 66;  2; 4
ALCB232.COB ; 1478 ; 957 ; 308 ; 119; False;52 ; 37 ; 38; 14;  0; 2
ALCB233.COB ; 1414 ; 965 ; 348 ; 166; False;153 ; 159 ; 139; 69;  0; 4
ALCB234.COB ; 1474 ; 971 ; 348 ; 166; False;153 ; 159 ; 139; 69;  0; 4
ALCB327.COB ; 1304 ; 1122 ; 362 ; 190; False;181 ; 198 ; 169; 120;  2; 0
ALCB328.COB ; 1622 ; 1216 ; 436 ; 198; False;181 ; 149 ; 171; 82;  0; 2
ALCB332.COB ; 1748 ; 969 ; 297 ; 115; False;134 ; 126 ; 122; 58;  4; 0
ALCB343.COB ; 9294 ; 2541 ; 961 ; 536; False;127 ; 105 ; 119; 63;  0; 4
ALCB369.COB ; 2297 ; 1830 ; 661 ; 343; False;81 ; 64 ; 71; 35;  0; 2
ALCB486.COB ; 2923 ; 1776 ; 511 ; 280; False;159 ; 135 ; 141; 67;  2; 4
ALCB487.COB ; 3069 ; 1590 ; 478 ; 268; False;149 ; 154 ; 135; 80;  4; 2
ALCB506.COB ; 3804 ; 1273 ; 408 ; 186; False;65 ; 66 ; 55; 34;  0; 2
ALCB517.COB ; 13160 ; 7830 ; 3978 ; 1566; False;87 ; 75 ; 57; 28;  0; 2
ALCB527.COB ; 6463 ; 3880 ; 1653 ; 803; False;71 ; 67 ; 59; 36;  0; 2
