filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
OFCS331.COB ; 2729 ; 1578 ; 886 ; 407; 63 ; 56 ; 53; 31;  6; 0
OFCS332.COB ; 6600 ; 3886 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
OFCS333.COB ; 2339 ; 1211 ; 757 ; 300; 16 ; 12 ; 14; 6;  1; 0
OFCS334.COB ; 2402 ; 1267 ; 776 ; 333; 16 ; 12 ; 14; 6;  1; 0
OFCS335.COB ; 5813 ; 4131 ; 2027 ; 1095; 58 ; 53 ; 48; 29;  6; 0
OFCS401.COB ; 7885 ; 5322 ; 1950 ; 954; 63 ; 56 ; 53; 31;  6; 0
OFCS402.COB ; 6328 ; 4136 ; 1596 ; 838; 63 ; 56 ; 55; 33;  4; 0
OFCS403.COB ; 3775 ; 2005 ; 1106 ; 548; 63 ; 56 ; 55; 33;  4; 0
OFCS404.COB ; 5533 ; 2865 ; 1442 ; 741; 63 ; 56 ; 55; 33;  4; 0
OFCS405.COB ; 3964 ; 2224 ; 1156 ; 526; 63 ; 56 ; 55; 33;  4; 0
OFCS406.COB ; 2427 ; 1320 ; 830 ; 333; 63 ; 56 ; 53; 31;  6; 0
OFCS407.COB ; 8042 ; 5150 ; 2214 ; 1203; 42 ; 43 ; 36; 25;  4; 0
OFCS408.COB ; 3785 ; 2251 ; 1152 ; 589; 63 ; 56 ; 55; 33;  4; 0
OFCS409.COB ; 3890 ; 2290 ; 1208 ; 628; 63 ; 56 ; 55; 33;  4; 0
OFCS410.COB ; 2385 ; 1170 ; 694 ; 293; 88 ; 79 ; 74; 42;  8; 0
OFCS411.COB ; 8595 ; 5763 ; 2317 ; 1149; 69 ; 59 ; 61; 35;  4; 0
OFCU003.COB ; 8303 ; 7053 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
OFCU004.COB ; 880 ; 722 ; 235 ; 125; 89 ; 68 ; 83; 41;  2; 0
OFCU005.COB ; 1338 ; 942 ; 226 ; 90; 46 ; 37 ; 40; 21;  0; 2
OFCU006.COB ; 1795 ; 1063 ; 414 ; 207; 80 ; 65 ; 74; 40;  4; 0
OFCU007.COB ; 486 ; 352 ; 107 ; 46; 62 ; 59 ; 61; 35;  1; 0
OFCU008.COB ; 654 ; 501 ; 143 ; 69; 33 ; 25 ; 29; 14;  2; 0
OFCU009.COB ; 464 ; 324 ; 129 ; 61; 69 ; 69 ; 65; 42;  2; 0
OFCU010.COB ; 451 ; 318 ; 129 ; 61; 69 ; 69 ; 65; 42;  2; 0
OFCU013.COB ; 1416 ; 845 ; 315 ; 180; 195 ; 190 ; 193; 117;  2; 0
OFCU015.COB ; 847 ; 624 ; 147 ; 71; 46 ; 37 ; 40; 21;  0; 2
OFCU017.COB ; 1001 ; 755 ; 159 ; 76; 46 ; 37 ; 40; 21;  0; 2
OFCU018.COB ; 774 ; 593 ; 163 ; 80; 44 ; 37 ; 38; 21;  0; 2
OFCU019.COB ; 2908 ; 1654 ; 1103 ; 663; 44 ; 40 ; 39; 24;  4; 0
OFCU020.COB ; 2052 ; 1390 ; 738 ; 420; 141 ; 158 ; 138; 93;  3; 0
OFCU021.COB ; 1284 ; 753 ; 354 ; 187; 100 ; 103 ; 92; 61;  6; 0
OFCU025.COB ; 1029 ; 680 ; 296 ; 147; 96 ; 77 ; 92; 49;  2; 0
OFCU026.COB ; 1587 ; 1347 ; 341 ; 190; 115 ; 102 ; 113; 66;  2; 0
OFCU027.COB ; 703 ; 592 ; 192 ; 94; 89 ; 73 ; 88; 50;  1; 0
OFCU028.COB ; 514 ; 398 ; 126 ; 60; 69 ; 59 ; 68; 40;  1; 0
OFCU029.COB ; 1447 ; 1401 ; 633 ; 380; 106 ; 92 ; 103; 61;  2; 0
OFCU030.COB ; 467 ; 383 ; 145 ; 69; 84 ; 68 ; 83; 46;  1; 0
OFCU031.COB ; 5680 ; 4617 ; 1161 ; 707; 99 ; 87 ; 95; 62;  2; 0
OFCU032.COB ; 2044 ; 1654 ; 457 ; 273; 96 ; 82 ; 93; 54;  2; 0
OFCU033.COB ; 636 ; 490 ; 133 ; 63; 74 ; 62 ; 73; 42;  1; 0
OFCU034.COB ; 1169 ; 1026 ; 451 ; 222; 91 ; 73 ; 85; 48;  2; 0
OFCU035.COB ; 1166 ; 1032 ; 461 ; 243; 93 ; 79 ; 87; 51;  4; 0
OFCU036.COB ; 1421 ; 1228 ; 527 ; 268; 81 ; 67 ; 77; 45;  2; 0
OFCU037.COB ; 2623 ; 2529 ; 1161 ; 581; 141 ; 133 ; 135; 95;  2; 0
OFCU038.COB ; 1082 ; 866 ; 349 ; 174; 95 ; 75 ; 89; 51;  2; 0
OFCU039.COB ; 906 ; 809 ; 331 ; 176; 35 ; 40 ; 29; 20;  2; 0
OFCU041.COB ; 757 ; 666 ; 227 ; 113; 94 ; 76 ; 93; 52;  1; 0
OFCU042.COB ; 656 ; 318 ; 137 ; 78; 70 ; 75 ; 68; 44;  2; 0
OFCU043.COB ; 944 ; 562 ; 91 ; 40; 17 ; 14 ; 11; 5;  2; 0
OFCU044.COB ; 474 ; 427 ; 158 ; 72; 76 ; 53 ; 70; 36;  2; 0
OFCU045.COB ; 496 ; 368 ; 153 ; 66; 79 ; 65 ; 78; 44;  1; 0
OFCU046.COB ; 1149 ; 1055 ; 440 ; 228; 101 ; 85 ; 95; 54;  2; 0
OFCU047.COB ; 1422 ; 1306 ; 475 ; 276; 108 ; 90 ; 102; 57;  2; 0
OFCU048.COB ; 1091 ; 991 ; 403 ; 214; 101 ; 85 ; 95; 54;  2; 0
OFCU049.COB ; 483 ; 370 ; 153 ; 66; 79 ; 65 ; 78; 44;  1; 0
OFCU050.COB ; 1044 ; 942 ; 372 ; 219; 103 ; 83 ; 97; 53;  2; 0
OFCU052.COB ; 484 ; 360 ; 153 ; 66; 79 ; 65 ; 78; 44;  1; 0
OFCU053.COB ; 406 ; 351 ; 131 ; 63; 74 ; 62 ; 73; 42;  1; 0
OFCU054.COB ; 1028 ; 862 ; 317 ; 183; 95 ; 74 ; 87; 45;  4; 0
OFCU055.COB ; 2164 ; 1512 ; 428 ; 211; 33 ; 28 ; 27; 16;  2; 0
OFCU056.COB ; 5390 ; 4325 ; 1654 ; 947; 265 ; 302 ; 260; 185;  5; 0
OFCVA01.COB ; 1739 ; 1247 ; 501 ; 276; 65 ; 58 ; 57; 28;  4; 0
OFCVA02.COB ; 1944 ; 1418 ; 486 ; 315; 44 ; 37 ; 38; 21;  2; 0
OFCVA03.COB ; 1544 ; 1103 ; 457 ; 241; 65 ; 58 ; 57; 28;  4; 0
OFCVA05.COB ; 1268 ; 901 ; 404 ; 194; 65 ; 58 ; 57; 28;  4; 0
OFCVA06.COB ; 621 ; 449 ; 182 ; 82; 41 ; 34 ; 33; 17;  4; 0
OFCVA07.COB ; 1095 ; 787 ; 282 ; 183; 41 ; 34 ; 33; 17;  4; 0
OFCVA08.COB ; 586 ; 430 ; 182 ; 82; 41 ; 34 ; 33; 17;  4; 0
OFCVB01.COB ; 1515 ; 1106 ; 432 ; 277; 41 ; 34 ; 33; 17;  4; 0
OFCVB02.COB ; 1108 ; 870 ; 338 ; 190; 65 ; 58 ; 57; 28;  4; 0
OFCVB03.COB ; 810 ; 613 ; 274 ; 123; 65 ; 58 ; 57; 28;  4; 0
OFCVB04.COB ; 796 ; 604 ; 272 ; 121; 65 ; 58 ; 57; 28;  4; 0
OFCVB05.COB ; 1056 ; 815 ; 322 ; 180; 65 ; 58 ; 57; 28;  4; 0
OFCVB06.COB ; 1029 ; 754 ; 282 ; 176; 41 ; 34 ; 33; 17;  4; 0
OFCVB07.COB ; 823 ; 638 ; 278 ; 138; 65 ; 58 ; 57; 28;  4; 0
OFCVB08.COB ; 1390 ; 1017 ; 456 ; 228; 65 ; 58 ; 57; 28;  4; 0
OFCVB09.COB ; 978 ; 744 ; 304 ; 164; 65 ; 58 ; 57; 28;  4; 0
OFCVB10.COB ; 1439 ; 1000 ; 421 ; 226; 41 ; 34 ; 33; 17;  4; 0
OFCVB11.COB ; 799 ; 608 ; 274 ; 123; 65 ; 58 ; 57; 28;  4; 0
OFCVB12.COB ; 1141 ; 875 ; 332 ; 192; 65 ; 58 ; 57; 28;  4; 0
OFCVC01.COB ; 1260 ; 964 ; 376 ; 216; 65 ; 58 ; 57; 28;  4; 0
OFCVC02.COB ; 1235 ; 888 ; 308 ; 212; 41 ; 34 ; 33; 17;  4; 0
OFCVC03.COB ; 1603 ; 1199 ; 400 ; 260; 65 ; 58 ; 57; 28;  4; 0
OFCVC04.COB ; 854 ; 659 ; 282 ; 142; 65 ; 58 ; 57; 28;  4; 0
OFCVC05.COB ; 993 ; 765 ; 318 ; 170; 65 ; 58 ; 57; 28;  4; 0
OFCVC06.COB ; 3615 ; 2853 ; 820 ; 672; 16 ; 15 ; 14; 8;  2; 0
OFCVC07.COB ; 1517 ; 1100 ; 490 ; 256; 65 ; 58 ; 57; 28;  4; 0
OFCVC08.COB ; 2583 ; 1814 ; 592 ; 469; 41 ; 34 ; 33; 17;  4; 0
OFCVC09.COB ; 786 ; 595 ; 270 ; 119; 65 ; 58 ; 57; 28;  4; 0
OFCVC10.COB ; 754 ; 572 ; 264 ; 113; 65 ; 58 ; 57; 28;  4; 0
OFCVC11.COB ; 714 ; 525 ; 208 ; 103; 58 ; 54 ; 50; 25;  4; 0
OFCVC12.COB ; 3922 ; 3135 ; 916 ; 758; 61 ; 57 ; 55; 29;  2; 0
OFCVC13.COB ; 828 ; 643 ; 278 ; 138; 65 ; 58 ; 57; 28;  4; 0
OFCVC14.COB ; 870 ; 670 ; 284 ; 144; 65 ; 58 ; 57; 28;  4; 0
OFCVC16.COB ; 811 ; 593 ; 226 ; 130; 41 ; 34 ; 33; 17;  4; 0
OFCVC17.COB ; 1183 ; 903 ; 336 ; 196; 65 ; 58 ; 57; 28;  4; 0
OFCVC19.COB ; 1092 ; 824 ; 326 ; 186; 65 ; 58 ; 57; 28;  4; 0
OFCVC20.COB ; 973 ; 750 ; 302 ; 162; 65 ; 58 ; 57; 28;  4; 0
OFCVC22.COB ; 854 ; 665 ; 283 ; 147; 18 ; 15 ; 16; 8;  2; 0
OFCVC24.COB ; 749 ; 573 ; 264 ; 113; 65 ; 58 ; 57; 28;  4; 0
OFCVC28.COB ; 862 ; 674 ; 285 ; 149; 18 ; 15 ; 16; 8;  2; 0
OFCVC30.COB ; 1168 ; 842 ; 298 ; 202; 41 ; 34 ; 33; 17;  4; 0
OFCVC31.COB ; 1274 ; 686 ; 395 ; 146; 65 ; 58 ; 57; 28;  4; 0
OFCVC32.COB ; 2795 ; 1934 ; 600 ; 504; 41 ; 34 ; 33; 17;  4; 0
OFCVC33.COB ; 909 ; 701 ; 292 ; 152; 65 ; 58 ; 57; 28;  4; 0
OFCVC34.COB ; 869 ; 671 ; 284 ; 144; 65 ; 58 ; 57; 28;  4; 0
OFCVD01.COB ; 1045 ; 819 ; 356 ; 175; 65 ; 58 ; 57; 28;  4; 0
OFCVD02.COB ; 925 ; 715 ; 296 ; 156; 65 ; 58 ; 57; 28;  4; 0
OFCVD03.COB ; 1018 ; 763 ; 310 ; 170; 65 ; 58 ; 57; 28;  4; 0
OFCVD04.COB ; 1253 ; 1006 ; 361 ; 225; 20 ; 16 ; 16; 8;  2; 0
OFCVD05.COB ; 981 ; 741 ; 304 ; 164; 65 ; 58 ; 57; 28;  4; 0
OFCVD06.COB ; 1257 ; 890 ; 400 ; 186; 65 ; 58 ; 57; 28;  4; 0
OFCVD07.COB ; 1389 ; 1012 ; 447 ; 220; 65 ; 58 ; 57; 28;  4; 0
OFCVD08.COB ; 1060 ; 801 ; 320 ; 181; 65 ; 58 ; 57; 28;  4; 0
OFCVD09.COB ; 1075 ; 817 ; 322 ; 183; 65 ; 58 ; 57; 28;  4; 0
OFCVD10.COB ; 607 ; 445 ; 186 ; 86; 41 ; 34 ; 33; 17;  4; 0
OFCVD11.COB ; 1265 ; 664 ; 397 ; 142; 65 ; 58 ; 57; 28;  4; 0
OPOU001.COB ; 853 ; 662 ; 188 ; 100; 16 ; 13 ; 12; 5;  2; 0
PRCB011.COB ; 2660 ; 1255 ; 478 ; 250; 158 ; 186 ; 152; 102;  4; 0
PRCB012.COB ; 3602 ; 2318 ; 605 ; 317; 54 ; 46 ; 52; 28;  0; 2
PRCB015.COB ; 2316 ; 1741 ; 729 ; 357; 108 ; 91 ; 104; 56;  2; 0
PRCB017.COB ; 4298 ; 3221 ; 1164 ; 628; 50 ; 48 ; 48; 30;  0; 2
