filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2;133;%Explored V1;% Explored V2;%Match V1;%Match V2;; Explored V2 ; matches V2;% Ex;% match;Inc ex;inc Match;
ALCC031.COB ;1962;1446;745;339; False;18;8;18;5;0;0;;2%;2%;2%;1%;;14;5;4%;1%;2%;0%;
ALCC032.COB ;2532;1962;1070;526; False;18;11;18;5;0;0;;2%;2%;2%;1%;;19;5;4%;1%;2%;0%;
ALCC048.COB ;2097;1518;774;348; False;40;18;38;16;0;0;;5%;5%;5%;5%;;33;27;9%;8%;4%;3%;
ALCC049.COB ;2191;1565;792;348; False;40;18;38;16;0;0;;5%;5%;5%;5%;;33;27;9%;8%;4%;3%;
ALCC065.COB ;2757;2322;1305;674; False;56;30;54;28;0;0;;4%;4%;4%;4%;;34;28;5%;4%;1%;0%;
ALCC066.COB ;3860;2695;1580;737; False;22;13;22;7;0;0;;1%;2%;1%;1%;;21;7;3%;1%;1%;0%;
ALCC067.COB ;2078;1526;792;353; False;9;7;9;5;0;0;;1%;2%;1%;1%;;13;5;4%;1%;2%;0%;
ALCC068.COB ;2198;1564;802;337; False;18;9;18;5;0;0;;2%;3%;2%;1%;;15;5;4%;1%;1%;0%;
ALCC070.COB ;2260;1705;932;443; False;26;14;26;7;0;0;;3%;3%;3%;2%;;22;7;5%;2%;2%;0%;
ALCC200.COB ;1726;1170;692;294; False;34;15;32;13;0;0;;5%;5%;5%;4%;;50;38;17%;13%;12%;9%;
ALCP021.COB ;4767;2325;762;222; False;187;75;187;73;0;0;;25%;34%;25%;33%;;123;109;55%;49%;21%;16%;
ALCP022.COB ;2269;798;343;112; False;28;18;28;13;0;0;;8%;16%;8%;12%;;22;13;20%;12%;4%;0%;
ALCP023.COB ;547;425;148;48; True;127;46;127;46;0;0;;86%;96%;86%;96%;;46;46;96%;96%;0%;0%;
ALCP040.COB ;3860;880;346;142; False;32;20;32;14;0;0;;9%;14%;9%;10%;;24;14;17%;10%;3%;0%;
ALCP041.COB ;879;608;121;37; False;61;29;61;27;0;0;;50%;78%;50%;73%;;29;20;78%;54%;0%;-19%;
ALCP042.COB ;4071;929;308;148; False;65;26;65;24;0;0;;21%;18%;21%;16%;;52;40;35%;27%;17%;11%;
ALCP052.COB ;2199;1168;416;178; False;60;29;60;27;0;0;;14%;16%;14%;15%;;32;28;18%;16%;2%;1%;
ALCP070.COB ;2933;1101;369;160; False;79;44;79;42;0;0;;21%;28%;21%;26%;;46;42;29%;26%;1%;0%;
ALCP071.COB ;996;712;224;69; False;119;46;119;44;0;0;;53%;67%;53%;64%;;46;46;67%;67%;0%;3%;
ALCP072.COB ;3668;1107;423;174; False;33;12;31;10;0;0;;8%;7%;7%;6%;;78;65;45%;37%;38%;31%;
ALCP076.COB ;3196;1820;611;369; False;154;87;152;85;0;0;;25%;24%;25%;23%;;93;85;25%;23%;1%;0%;
ALCP077.COB ;5308;1902;616;342; False;93;55;91;53;0;0;;15%;16%;15%;15%;;61;53;18%;15%;2%;0%;
ALCP078.COB ;1016;723;208;106; False;92;41;90;39;0;0;;44%;39%;43%;37%;;47;39;44%;37%;5%;0%;
ALCP079.COB ;1889;1241;386;189; False;77;39;75;37;0;0;;20%;21%;19%;20%;;68;52;36%;28%;15%;8%;
