mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy;
T; Cobol_85/NC121M.cob;1288;0.143299901;0.36475;2.545361144;
T; Cobol_85/NC122A.cob;1038;0.10899967;0.3674;3.370652407;
T; Cobol_85/NC123A.cob;1129;0.120449388;0.3233;2.684114925;
T; Cobol_85/NC124A.cob;2354;0.402329087;0.3194;0.793877476;
T; Cobol_85/NC125A.cob;750;0.074199927;0.27895;3.759437661;
T; Cobol_85/NC126A.cob;2636;0.494324434;0.335;0.677692578;
T; Cobol_85/NC127A.cob;349;0.035649383;0.3301;9.259627298;
T; Cobol_85/NC131A.cob;468;0.048649085;0.3309;6.801772325;
T; Cobol_85/NC132A.cob;794;0.077849245;0.3238;4.159321006;
T; Cobol_85/NC133A.cob;713;0.076351154;0.267;3.497000189;
T; Cobol_85/NC134A.cob;713;0.075850499;0.36515;4.814075119;
T; Cobol_85/NC135A.cob;521;0.05404917;0.33145;6.132379091;
T; Cobol_85/NC136A.cob;489;0.054249263;0.3107;5.727266746;
T; Cobol_85/NC137A.cob;503;0.057000101;0.33445;5.867533463;
T; Cobol_85/NC138A.cob;654;0.063399637;0.32775;5.169587958;
T; Cobol_85/NC139A.cob;617;0.059798861;0;0;!Raincode's parser could not parse this file
T; Cobol_85/NC140A.cob;749;0.074149179;0.3375;4.551635022;
T; Cobol_85/NC141A.cob;507;0.052649856;0.33115;6.289665825;
T; Cobol_85/NC170A.cob;2015;0.264407957;0.3375;1.276436624;
T; Cobol_85/NC171A.cob;2268;0.321549284;0.30145;0.937492369;
T; Cobol_85/NC172A.cob;2215;0.297663891;0.266;0.893625354;
T; Cobol_85/NC173A.cob;2218;0.298844898;0.24715;0.827017632;
T; Cobol_85/NC175A.cob;2079;0.251849544;0.30665;1.21759204;
T; Cobol_85/NC176A.cob;2417;0.363950074;0.3445;0.946558401;
T; Cobol_85/NC177A.cob;2137;0.277162361;0.3151;1.136878755;
T; Cobol_85/NC201A.cob;2120;0.248798954;0.33805;1.358727577;
T; Cobol_85/NC202A.cob;2219;0.258550298;0.33765;1.305935451;
T; Cobol_85/NC203A.cob;1693;0.187449729;0.29335;1.564952916;
T; Cobol_85/NC204M.cob;1207;0.120953643;0.3398;2.809340765;
T; Cobol_85/NC205A.cob;804;2.035582018;0.3397;0.166881018;
T; Cobol_85/NC206A.cob;1695;0.19260025;0.3071;1.594494296;
T; Cobol_85/NC207A.cob;2723;0.351849353;0.3408;0.968596353;
T; Cobol_85/NC208A.cob;1130;0.115951288;0.3174;2.737356397;
T; Cobol_85/NC209A.cob;966;0.105259538;0.3173;3.014453664;
T; Cobol_85/NC210A.cob;737;0.08654983;0;0;!Raincode's parser could not parse this file
T; Cobol_85/NC211A.cob;1896;0.161265087;0.3459;2.144915595;
T; Cobol_85/NC214M.cob;409;0.041575909;0.3398;8.173002303;
T; Cobol_85/NC215A.cob;483;0.049036646;0.33;6.729660915;
T; Cobol_85/NC216A.cob;2227;0.262595594;0.20265;0.771718965;
T; Cobol_85/NC217A.cob;2187;0.279948771;0.3044;1.087341798;
T; Cobol_85/NC218A.cob;3077;0.522656536;0.35735;0.683718609;
T; Cobol_85/NC219A.cob;591;0.058854294;0.3348;5.688624861;
T; Cobol_85/NC220M.cob;1037;0.114150453;0.3309;2.898805842;
T; Cobol_85/NC221A.cob;961;0.105849934;0.2761;2.608409751;
T; Cobol_85/NC222A.cob;552;0.059750271;0.26725;4.472783061;
T; Cobol_85/NC223A.cob;2290;0.31499995;0.25315;0.803650921;
T; Cobol_85/NC224A.cob;647;0.067649984;0;0;!Raincode's parser could not parse this file
T; Cobol_85/NC225A.cob;1924;0.194299388;0.3475;1.788477069;
T; Cobol_85/NC231A.cob;1110;0.129400337;0.27925;2.158031474;
T; Cobol_85/NC232A.cob;923;0.09670012;0.34115;3.527917028;
T; Cobol_85/NC233A.cob;881;0.102649987;0.2603;2.535801588;
T; Cobol_85/NC234A.cob;922;0.094150364;0.3229;3.429620304;
T; Cobol_85/NC235A.cob;626;0.064449942;0.31775;4.93018287;
T; Cobol_85/NC236A.cob;584;0.060750258;0.28365;4.669115973;
T; Cobol_85/NC237A.cob;661;0.072100031;0.3381;4.689318372;
T; Cobol_85/NC238A.cob;658;0.070050013;0.33625;4.800141864;
T; Cobol_85/NC239A.cob;528;0.055350089;0.33885;6.121941376;
T; Cobol_85/NC240A.cob;693;0.075446761;0.3649;4.836523068;
T; Cobol_85/NC241A.cob;671;0.072050035;0.27;3.74739582;
T; Cobol_85/NC242A.cob;575;0.068250155;0.31345;4.592663562;
T; Cobol_85/NC243A.cob;702;0.077849972;0.376;4.829802636;
T; Cobol_85/NC244A.cob;511;0.052850175;0.30885;5.843878473;
T; Cobol_85/NC245A.cob;537;0.050349855;0.3384;6.720972682;
T; Cobol_85/NC246A.cob;1320;0.139950085;0.24115;1.723114352;
T; Cobol_85/NC247A.cob;864;0.088850105;0.3425;3.854806925;
T; Cobol_85/NC248A.cob;621;0.066364646;0.3507;5.284440152;
T; Cobol_85/NC250A.cob;1971;0.213541675;0.3198;1.497599942;
T; Cobol_85/NC251A.cob;1417;0.164022827;0.3444;2.099707744;
T; Cobol_85/NC252A.cob;1710;0.143950152;0.31525;2.189994214;
T; Cobol_85/NC253A.cob;1978;0.251250303;0.3391;1.349650114;
T; Cobol_85/NC254A.cob;671;0.0746575;0.33715;4.5159562;
T; Cobol_85/OBIC1A.cob;80;0.007751024;0.2837;36.60161548;
T; Cobol_85/OBIC2A.cob;310;0.027201867;0.32405;11.91278525;
T; Cobol_85/OBIC3A.cob;336;0.034307849;0.3163;9.219464619;
T; Cobol_85/OBNC2M.cob;929;0.105462039;0.29595;2.806223005;
T; Cobol_85/OBSQ1A.cob;629;0.068001938;0.34195;5.028533157;
T; Cobol_85/OBSQ3A.cob;647;0.067049658;0.32995;4.920979612;
T; Cobol_85/OBSQ4A.cob;574;0.059050083;0.3502;5.93055898;
T; Cobol_85/OBSQ5A.cob;626;0.066298783;0.34505;5.20446959;
T; Cobol_85/RL101A.cob;457;0.050099504;0.3511;7.008053413;
T; Cobol_85/RL102A.cob;617;0.065399444;0.321;4.908298609;
T; Cobol_85/RL103A.cob;617;0.06349988;0.3196;5.033080377;
T; Cobol_85/RL104A.cob;639;0.062695575;0.32805;5.23242669;
T; Cobol_85/RL105A.cob;633;0.066642702;0.3534;5.302906236;
T; Cobol_85/RL106A.cob;814;0.072859895;0.33115;4.545024392;
